City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nemuro,43.3236,145.575,12.72,94,100,2.15,JP,1689515639
84,lebu,-37.6167,-73.65,7.66,73,100,5.81,CL,1689515639
85,floro,61.5996,5.0328,20.04,68,75,8.75,NO,1689515639
86,basotu,-4.3667,35.0833,26.41,22,3,3.21,TZ,1689515640
87,saint-pierre,-21.3393,55.4781,23.65,83,20,13.38,RE,1689515640
88,gobabis,-22.45,18.9667,23.31,16,0,4.87,NA,1689515640
89,hampton bays,40.869,-72.5176,25.1,97,100,5.36,US,1689515640
90,kutum,14.2,24.6667,33.84,18,54,3.63,SD,1689515641
91,bredasdorp,-34.5322,20.0403,19.51,65,97,3.44,ZA,1689515641
92,gadzhiyevo,69.2551,33.3362,16.59,65,70,3.74,RU,1689515641
93,villa gesell,-37.2639,-56.973,8.92,63,85,8.33,AR,1689515561
94,moyobamba,-6.05,-76.9667,21.29,87,99,0.29,PE,1689515642
95,hirado,33.3597,129.5531,27.99,90,0,5.93,JP,1689515643
96,chandler,33.3062,-111.8412,35.18,40,40,3.6,US,1689515392
97,tazacorte,28.629,-17.9293,24.54,69,75,8.75,ES,1689515643
98,chornomors'k,46.305,30.6548,25.52,53,0,5.06,UA,1689515643
99,deder,9.3167,41.45,20.51,60,50,3.0,ET,1689515644
100,togur,58.3631,82.8265,18.46,77,10,3.4,RU,1689515644
101,aasiaat,68.7098,-52.8699,2.49,94,100,2.63,GL,1689515645
102,gualeguaychu,-33.0094,-58.5172,8.27,85,2,4.13,AR,1689515646
103,arraial do cabo,-22.9661,-42.0278,23.98,60,0,5.14,BR,1689515646
104,peniche,39.3558,-9.3811,25.16,64,73,8.64,PT,1689515646
105,remire-montjoly,4.9167,-52.2667,30.02,70,75,3.6,GF,1689515646
106,georgetown,5.4112,100.3354,29.97,79,20,1.03,MY,1689515516
107,dudinka,69.4058,86.1778,7.57,65,100,4.62,RU,1689515647
108,longyearbyen,78.2186,15.6401,13.91,47,0,6.69,SJ,1689515647
109,ranau,5.9538,116.6641,22.36,72,96,1.09,MY,1689515647
110,queenstown,-31.8976,26.8753,18.26,25,1,6.95,ZA,1689515648
111,atafu village,-8.5421,-172.5159,28.04,75,99,5.09,TK,1689515648
112,rio grande,-32.035,-52.0986,13.06,69,0,5.44,BR,1689515648
113,villa huidobro,-34.8383,-64.5869,8.55,42,66,1.16,AR,1689515649
114,bamboo flat,11.7,92.7167,29.05,79,75,4.63,IN,1689515649
115,belen,36.4891,36.2233,35.08,17,0,8.75,TR,1689515649
116,flin flon,54.7682,-101.865,11.91,94,100,4.63,CA,1689515649
117,batibo,5.8358,9.8553,24.22,80,49,0.39,CM,1689515650
118,sobral,-3.6861,-40.3497,32.38,41,71,3.85,BR,1689515650
119,la rinconada,37.4873,-5.9826,37.25,23,0,1.03,ES,1689515650
120,trincomalee,8.5711,81.2335,29.52,75,75,0.88,LK,1689515650
121,tatishchevo,51.6703,45.5953,19.82,76,95,6.59,RU,1689515462
122,joshimath,30.5667,79.5667,23.24,95,95,0.25,IN,1689515651
123,fonte boa,-2.4959,-66.2662,27.83,73,67,0.83,BR,1689515651
